date,county,state,pop,cases,deaths,casesPerCapita,deathsPerCapita,scores,anomaly
43989,Westchester County,New York,9154.0,33953,1523,3.709088923,0.166375355,-0.014169579253938913,-1
43989,Cook County,Illinois,17212.0,82427,3944,4.78892633,0.229142459,-0.04494684993379272,-1
43989,Los Angeles County,California,14464.0,63844,2645,4.413993363,0.18286781,-0.0394611209283009,-1
43989,Suffolk County,Massachusetts,1490.0,19001,924,12.75234899,0.620134228,-0.09954205375348602,-1
43989,Prince George's County,Maryland,4470.0,16958,598,3.793736018,0.133780761,-0.019483608957589604,-1
43990,Suffolk County,New York,1490.0,40377,1983,27.09865772,1.330872483,-0.10899101209397954,-1
43990,Westchester County,New York,9154.0,33999,1526,3.714114049,0.166703081,-0.014699365754518023,-1
43990,Cook County,Illinois,17212.0,82819,3959,4.811701139,0.230013944,-0.04659981926432155,-1
43990,Los Angeles County,California,14464.0,64644,2655,4.469303097,0.18355918100000002,-0.038914586629338443,-1
43990,Suffolk County,Massachusetts,1490.0,19028,931,12.7704698,0.624832215,-0.09954205375348602,-1
43990,Prince George's County,Maryland,4470.0,17047,602,3.813646532,0.134675615,-0.021084841558190126,-1
43991,Suffolk County,New York,1490.0,40426,1988,27.13154362,1.334228188,-0.10899101209397954,-1
43991,Westchester County,New York,9154.0,34034,1527,3.717937514,0.16681232199999999,-0.014699365754518023,-1
43991,Cook County,Illinois,17212.0,83271,4010,4.837961887,0.23297699300000002,-0.047151555045940485,-1
43991,Los Angeles County,California,14464.0,65822,2707,4.550746681000001,0.187154314,-0.040008025130012226,-1
43991,Suffolk County,Massachusetts,1490.0,19067,935,12.7966443,0.627516779,-0.09954205375348602,-1
43991,Prince George's County,Maryland,4470.0,17178,607,3.84295302,0.135794183,-0.02161930841376314,-1
43992,Suffolk County,New York,1490.0,40464,1990,27.15704698,1.33557047,-0.10899101209397954,-1
43992,Westchester County,New York,9154.0,34075,1530,3.72241643,0.167140048,-0.01576001470111088,-1
43992,Cook County,Illinois,17212.0,83585,4053,4.8562049730000005,0.23547525,-0.047151555045940485,-1
43992,Los Angeles County,California,14464.0,67064,2768,4.636615044,0.19137168100000002,-0.042199345974004765,-1
43992,Suffolk County,Massachusetts,1490.0,19099,936,12.81812081,0.628187919,-0.09954205375348602,-1
43992,Prince George's County,Maryland,4470.0,17305,613,3.871364653,0.137136465,-0.02161930841376314,-1
43993,Suffolk County,New York,1490.0,40512,1994,27.18926174,1.3382550340000001,-0.10899101209397954,-1
43993,Westchester County,New York,9154.0,34105,1531,3.725693686,0.16724929,-0.01576001470111088,-1
43993,Cook County,Illinois,17212.0,83978,4111,4.879037881,0.238844992,-0.04936223493257341,-1
43993,Los Angeles County,California,14464.0,68875,2813,4.761822456,0.19448285399999998,-0.04494684993379272,-1
43993,Suffolk County,Massachusetts,1490.0,19195,938,12.88255034,0.629530201,-0.09954205375348602,-1
43993,Prince George's County,Maryland,4470.0,17468,620,3.907829978,0.138702461,-0.027522372300395115,-1
43994,Suffolk County,New York,1490.0,40559,1994,27.22080537,1.3382550340000001,-0.10899101209397954,-1
43994,Westchester County,New York,9154.0,34174,1533,3.733231374,0.167467774,-0.01576001470111088,-1
43994,Cook County,Illinois,17212.0,84249,4162,4.89478271,0.241808041,-0.04936223493257341,-1
43994,Los Angeles County,California,14464.0,70476,2832,4.872511062,0.19579646,-0.047151555045940485,-1
43994,Suffolk County,Massachusetts,1490.0,19249,941,12.91879195,0.631543624,-0.09954205375348602,-1
43994,Prince George's County,Maryland,4470.0,17592,631,3.93557047,0.14116331099999999,-0.029139938223545325,-1
43995,Suffolk County,New York,1490.0,40615,1996,27.25838926,1.339597315,-0.10899101209397954,-1
