REGION,WEEK,ILITOTAL
Nebraska,4/14/2018,171
Nevada,4/14/2018,138
New Hampshire,4/14/2018,15
New Jersey,4/14/2018,626
New Mexico,4/14/2018,234
New York,4/14/2018,240
North Carolina,4/14/2018,199
North Dakota,4/14/2018,5
Ohio,4/14/2018,171
Oklahoma,4/14/2018,48
Oregon,4/14/2018,476
Pennsylvania,4/14/2018,894
Rhode Island,4/14/2018,102
South Carolina,4/14/2018,94
South Dakota,4/14/2018,256
Tennessee,4/14/2018,42
Texas,4/14/2018,437
Utah,4/14/2018,77
Vermont,4/14/2018,52
Virginia,4/14/2018,1898
Washington,4/14/2018,50
West Virginia,4/14/2018,216
Wisconsin,4/14/2018,134
Wyoming,4/14/2018,42
Alabama,4/21/2018,604
Alaska,4/21/2018,231
Arizona,4/21/2018,483
Arkansas,4/21/2018,37
California,4/21/2018,888
Colorado,4/21/2018,146
Connecticut,4/21/2018,108
Delaware,4/21/2018,9
Georgia,4/21/2018,979
Hawaii,4/21/2018,25
Idaho,4/21/2018,4
Illinois,4/21/2018,506
Indiana,4/21/2018,75
Iowa,4/21/2018,8
Kansas,4/21/2018,72
Kentucky,4/21/2018,104
Louisiana,4/21/2018,1126
Maine,4/21/2018,27
Maryland,4/21/2018,98
Massachusetts,4/21/2018,500
Michigan,4/21/2018,323
Minnesota,4/21/2018,138
Mississippi,4/21/2018,377
Missouri,4/21/2018,19
Montana,4/21/2018,7
Nebraska,4/21/2018,137
Nevada,4/21/2018,104
New Hampshire,4/21/2018,19
New Jersey,4/21/2018,541
New Mexico,4/21/2018,222
New York,4/21/2018,237
North Carolina,4/21/2018,183
North Dakota,4/21/2018,9
Ohio,4/21/2018,131
Oklahoma,4/21/2018,38
Oregon,4/21/2018,414
Pennsylvania,4/21/2018,732
Rhode Island,4/21/2018,77
South Carolina,4/21/2018,63
South Dakota,4/21/2018,66
Tennessee,4/21/2018,51
Texas,4/21/2018,696
Utah,4/21/2018,266
Vermont,4/21/2018,51
Virginia,4/21/2018,1581
Washington,4/21/2018,47
West Virginia,4/21/2018,136
Wisconsin,4/21/2018,132
Wyoming,4/21/2018,44
Alabama,4/28/2018,532
Alaska,4/28/2018,164
Arizona,4/28/2018,450
Arkansas,4/28/2018,45
California,4/28/2018,934
Colorado,4/28/2018,176
Connecticut,4/28/2018,123
Delaware,4/28/2018,3
Georgia,4/28/2018,850
Hawaii,4/28/2018,37
Idaho,4/28/2018,5
Illinois,4/28/2018,578
Indiana,4/28/2018,63
Iowa,4/28/2018,11
Kansas,4/28/2018,59
Kentucky,4/28/2018,87
Louisiana,4/28/2018,1173
Maine,4/28/2018,11
Maryland,4/28/2018,77
Massachusetts,4/28/2018,459
Michigan,4/28/2018,245
Minnesota,4/28/2018,100
Mississippi,4/28/2018,405
Missouri,4/28/2018,24
Montana,4/28/2018,0
Nebraska,4/28/2018,162
Nevada,4/28/2018,133
New Hampshire,4/28/2018,19
New Jersey,4/28/2018,582
New Mexico,4/28/2018,228
New York,4/28/2018,177
North Carolina,4/28/2018,184
North Dakota,4/28/2018,10
Ohio,4/28/2018,134
Oklahoma,4/28/2018,32
Oregon,4/28/2018,363
Pennsylvania,4/28/2018,715
Rhode Island,4/28/2018,29
South Carolina,4/28/2018,53
South Dakota,4/28/2018,84
Tennessee,4/28/2018,30
Texas,4/28/2018,624
Utah,4/28/2018,377
Vermont,4/28/2018,57
Virginia,4/28/2018,1547
Washington,4/28/2018,21
West Virginia,4/28/2018,84
Wisconsin,4/28/2018,126
Wyoming,4/28/2018,34
Alabama,5/5/2018,509
Alaska,5/5/2018,135
Arizona,5/5/2018,434
Arkansas,5/5/2018,34
California,5/5/2018,876
Colorado,5/5/2018,136
Connecticut,5/5/2018,86
Delaware,5/5/2018,7
Georgia,5/5/2018,942
Hawaii,5/5/2018,23
Idaho,5/5/2018,10
Illinois,5/5/2018,445
Indiana,5/5/2018,65
Iowa,5/5/2018,7
Kansas,5/5/2018,39
Kentucky,5/5/2018,46
Louisiana,5/5/2018,1031
Maine,5/5/2018,17
Maryland,5/5/2018,87
Massachusetts,5/5/2018,418
Michigan,5/5/2018,127
Minnesota,5/5/2018,111
Mississippi,5/5/2018,336
Missouri,5/5/2018,4
Montana,5/5/2018,0
Nebraska,5/5/2018,111
Nevada,5/5/2018,71
New Hampshire,5/5/2018,16
New Jersey,5/5/2018,479
New Mexico,5/5/2018,203
New York,5/5/2018,232
North Carolina,5/5/2018,157
North Dakota,5/5/2018,1
Ohio,5/5/2018,99
Oklahoma,5/5/2018,36
Oregon,5/5/2018,336
Pennsylvania,5/5/2018,598
Rhode Island,5/5/2018,47
South Carolina,5/5/2018,53
South Dakota,5/5/2018,64
Tennessee,5/5/2018,33
Texas,5/5/2018,570
Utah,5/5/2018,406
Vermont,5/5/2018,34
Virginia,5/5/2018,1377
Washington,5/5/2018,23
West Virginia,5/5/2018,110
Wisconsin,5/5/2018,116
Wyoming,5/5/2018,17
Alabama,5/12/2018,448
Alaska,5/12/2018,137
Arizona,5/12/2018,386
Arkansas,5/12/2018,46
California,5/12/2018,828
Colorado,5/12/2018,109
Connecticut,5/12/2018,35
Delaware,5/12/2018,3
Georgia,5/12/2018,897
Hawaii,5/12/2018,26
Idaho,5/12/2018,2
Illinois,5/12/2018,423
Indiana,5/12/2018,38
Iowa,5/12/2018,5
Kansas,5/12/2018,35
Kentucky,5/12/2018,55
Louisiana,5/12/2018,1106
Maine,5/12/2018,8
Maryland,5/12/2018,57
Massachusetts,5/12/2018,366
Michigan,5/12/2018,174
Minnesota,5/12/2018,96
Mississippi,5/12/2018,279
Missouri,5/12/2018,9
